clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2,prob_diff
", pigeons and other",pigeons,bird,"['birds', 'bird']","[10087, 6512]",", turnips and other",turnips,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",pigeons are a type of,turnips are a type of,0.2208432704210281
", falcons and other",falcons,bird,"['birds', 'bird']","[10087, 6512]",", colonels and other",colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",falcons are a type of,colonels are a type of,0.1336300820112228
", mockingbirds and other",mockingbirds,bird,"['birds', 'bird']","[10087, 6512]",", treasurers and other",treasurers,politician,"['elected', 'politicians']","[7018, 7602]",mockingbirds are a type of,treasurers are a type of,0.1317949593067169
", blackbirds and other",blackbirds,bird,"['birds', 'bird']","[10087, 6512]",", pears and other",pears,fruit,"['fruits', 'fruit']","[15921, 8234]",blackbirds are a type of,pears are a type of,0.188108742237091
", cars and other",cars,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",", ducks and other",ducks,bird,"['birds', 'bird']","[10087, 6512]",cars are a type of,ducks are a type of,0.1960317641496658
", trucks and other",trucks,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",", ducks and other",ducks,bird,"['birds', 'bird']","[10087, 6512]",trucks are a type of,ducks are a type of,0.452820211648941
", planes and other",planes,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",", earthquakes and other",earthquakes,weather,"['weather', 'natural']","[6193, 3288]",planes are a type of,earthquakes are a type of,0.1287606805562973
", trains and other",trains,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",", keyboards and other",keyboards,instrument,"['musical', 'instruments']","[10530, 12834]",trains are a type of,keyboards are a type of,0.1442985832691192
", bicycles and other",bicycles,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",", caves and other",caves,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",bicycles are a type of,caves are a type of,0.126082643866539
", vans and other",vans,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",", ants and other",ants,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",vans are a type of,ants are a type of,0.584637463092804
", motorcycles and other",motorcycles,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",", captains and other",captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",motorcycles are a type of,captains are a type of,0.263834536075592
", SUVs and other",SUVs,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",", vice presidents and other",vice presidents,politician,"['elected', 'politicians']","[7018, 7602]",SUVs are a type of,vice presidents are a type of,0.4429687261581421
", cabs and other",cabs,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",", irides and other",irides,flower,"['flowers', 'flowering']","[12734, 48573]",cabs are a type of,irides are a type of,0.2120795100927353
", carrots and other",carrots,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", grapes and other",grapes,fruit,"['fruits', 'fruit']","[15921, 8234]",carrots are a type of,grapes are a type of,0.1493406295776367
", lettuce and other",lettuce,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", boots and other",boots,footwear,['footwear'],[43463],lettuce is a type of,boots are a type of,0.2588576078414917
", broccoli and other",broccoli,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", lightning and other",lightning,weather,"['weather', 'natural']","[6193, 3288]",broccoli is a type of,lightning is a type of,0.2338613718748092
", tomatoes and other",tomatoes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", nails and other",nails,tool,['tools'],[4899],tomatoes are a type of,nails are a type of,0.1431028097867965
", cucumbers and other",cucumbers,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", owls and other",owls,bird,"['birds', 'bird']","[10087, 6512]",cucumbers are a type of,owls are a type of,0.1619215607643127
", peas and other",peas,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", meters and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",peas are a type of,meters are a type of,0.1439120918512344
", potatoes and other",potatoes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", swimming and other",swimming,sport,['sports'],[5701],potatoes are a type of,swimming is a type of,0.1617050468921661
", onions and other",onions,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", clubs and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",onions are a type of,clubs are a type of,0.161772534251213
", green beans and other",green beans,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", congressmen and other",congressmen,politician,"['elected', 'politicians']","[7018, 7602]",green beans are a type of,congressmen are a type of,0.1204489916563034
", spinach and other",spinach,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", cats and other",cats,animal,['animals'],[4695],spinach is a type of,cats are a type of,0.1804116666316986
", cauliflower and other",cauliflower,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", cheerleading and other",cheerleading,sport,['sports'],[5701],cauliflower is a type of,cheerleading is a type of,0.1800594180822372
", asparagus and other",asparagus,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", nickels and other",nickels,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",asparagus are a type of,nickels are a type of,0.1970080882310867
", zucchini and other",zucchini,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",", great aunts and other",great aunts,relative,"['relatives', 'family']","[12772, 1641]",zucchini is a type of,great aunts are a type of,0.1543653011322021
", hiking shoes and other",hiking shoes,footwear,['footwear'],[43463],", polo and other",polo,sport,['sports'],[5701],hiking shoes are a type of,polo is a type of,0.1020104512572288
", ants and other",ants,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", heels and other",heels,footwear,['footwear'],[43463],ants are a type of,heels are a type of,0.1115542575716972
", spiders and other",spiders,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", desks and other",desks,furniture,['furniture'],[13091],spiders are a type of,desks are a type of,0.104263886809349
", bees and other",bees,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", governors and other",governors,politician,"['elected', 'politicians']","[7018, 7602]",bees are a type of,governors are a type of,0.1495150923728943
", mosquitoes and other",mosquitoes,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", thunder and other",thunder,weather,"['weather', 'natural']","[6193, 3288]",mosquitoes are a type of,thunder is a type of,0.1988208889961242
", beetles and other",beetles,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", mice and other",mice,animal,['animals'],[4695],beetles are a type of,mice are a type of,0.1820915043354034
", ladybugs and other",ladybugs,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", drug smuggling and other",drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]",ladybugs are a type of,drug smuggling is a type of,0.1701452136039734
", moths and other",moths,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", drug use and other",drug use,crime,"['crimes', 'crime']","[6741, 4065]",moths are a type of,drug use is a type of,0.1868462413549423
", cockroaches and other",cockroaches,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", raccoons and other",raccoons,animal,['animals'],[4695],cockroaches are a type of,raccoons are a type of,0.1052316427230835
", caterpillars and other",caterpillars,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", starfruits and other",starfruits,fruit,"['fruits', 'fruit']","[15921, 8234]",caterpillars are a type of,starfruits are a type of,0.1322919428348541
", centipedes and other",centipedes,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",centipedes are a type of,carpenters are a type of,0.1026117950677871
", crickets and other",crickets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", nanometers and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",crickets are a type of,nanometers are a type of,0.1146831437945365
", dragonflies and other",dragonflies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",", drunk driving and other",drunk driving,crime,"['crimes', 'crime']","[6741, 4065]",dragonflies are a type of,drunk driving is a type of,0.1538053452968597
", roses and other",roses,flower,"['flowers', 'flowering']","[12734, 48573]",", dollars and other",dollars,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",roses are a type of,dollars are a type of,0.2035651206970214
", sailboats and other",sailboats,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]",", crickets and other",crickets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",sailboats are a type of,crickets are a type of,0.3564392030239105
", speedboats and other",speedboats,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]",", foxes and other",foxes,animal,['animals'],[4695],speedboats are a type of,foxes are a type of,0.2526281177997589
", rowboats and other",rowboats,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]",", nanometers and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",rowboats are a type of,nanometers are a type of,0.2196727246046066
", tugboats and other",tugboats,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]",", redwoods and other",redwoods,tree,['trees'],[7150],tugboats are a type of,redwoods are a type of,0.3878116309642792
", battleships and other",battleships,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]",", futons and other",futons,furniture,['furniture'],[13091],battleships are a type of,futons are a type of,0.3124535679817199
", paddleboats and other",paddleboats,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]",", feets and other",feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",paddleboats are a type of,feets are a type of,0.179227128624916
", salmon and other",salmon,fish,"['fish', 'fishes']","[5916, 49765]",", bees and other",bees,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",salmon are a type of,bees are a type of,0.1689417064189911
", trout and other",trout,fish,"['fish', 'fishes']","[5916, 49765]",", baseball and other",baseball,sport,['sports'],[5701],trout are a type of,baseball is a type of,0.1772410422563552
", goldfish and other",goldfish,fish,"['fish', 'fishes']","[5916, 49765]",", tank tops and other",tank tops,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",goldfish are a type of,tank tops are a type of,0.1808444559574127
", catfish and other",catfish,fish,"['fish', 'fishes']","[5916, 49765]",", stools and other",stools,furniture,['furniture'],[13091],catfish are a type of,stools are a type of,0.1971595883369445
", tuna and other",tuna,fish,"['fish', 'fishes']","[5916, 49765]",", wind and other",wind,weather,"['weather', 'natural']","[6193, 3288]",tuna are a type of,wind is a type of,0.2157400697469711
", swordfish and other",swordfish,fish,"['fish', 'fishes']","[5916, 49765]",", pines and other",pines,tree,['trees'],[7150],swordfish are a type of,pines are a type of,0.1521776914596557
", blowfish and other",blowfish,fish,"['fish', 'fishes']","[5916, 49765]",", heavy metal and other",heavy metal,music,['music'],[2647],blowfish are a type of,heavy metal is a type of,0.1387636214494705
