clean,corrupted,group,plural
The consultants the dancer loves,The consultant the dancer loves,ML-obj_rel_no_comp_across_anim_all,1
The pilot in front of the parent,The pilots in front of the parent,ML-prep_anim_all,0
The officers in front of the dancers,The officer in front of the dancers,ML-prep_anim_all,1
The novel the skater hates,The novels the skater hates,ML-obj_rel_no_comp_across_inanim_all,0
The surgeon that hates the taxi driver,The surgeons that hate the taxi driver,ML-subj_rel_all,0
The books that the chefs love,The book that the chefs love,ML-obj_rel_across_inanim_all,1
The senator that the dancer likes,The senators that the dancer likes,ML-obj_rel_across_anim_all,0
The teacher to the side of the minister,The teachers to the side of the minister,ML-prep_anim_all,0
The movies the architect hates,The movie the architect hates,ML-obj_rel_no_comp_across_inanim_all,1
The officers the guards hate,The officer the guards hate,ML-obj_rel_no_comp_across_anim_all,1
The customers are twenty three years old and,The customer is twenty three years old and,ML-long_vp_coord_all,1
The customers near the assistants,The customer near the assistants,ML-prep_anim_all,1
The surgeon the ministers,The surgeon the minister,ML-obj_rel_no_comp_within_anim_all,1
The manager that the taxi driver admires,The managers that the taxi driver admires,ML-obj_rel_across_anim_all,0
The pilots the executive likes,The pilot the executive likes,ML-obj_rel_no_comp_across_anim_all,1
The consultant that hates the dancers,The consultants that hate the dancers,ML-subj_rel_all,0
The painting the skater likes,The paintings the skater likes,ML-obj_rel_no_comp_across_inanim_all,0
The customer in front of the dancers,The customers in front of the dancers,ML-prep_anim_all,0
The novels the minister hates,The novel the minister hates,ML-obj_rel_no_comp_across_inanim_all,1
The teachers next to the taxi driver,The teacher next to the taxi driver,ML-prep_anim_all,1
The teacher the executives love,The teachers the executives love,ML-obj_rel_no_comp_across_anim_all,0
The poem that the taxi drivers like,The poems that the taxi drivers like,ML-obj_rel_across_inanim_all,0
The teachers in front of the architect,The teacher in front of the architect,ML-prep_anim_all,1
The customers that the executives love,The customer that the executives love,ML-obj_rel_across_anim_all,1
The novels from the executives,The novel from the executives,ML-prep_inanim_all,1
The surgeons that the parents admire,The surgeon that the parents admire,ML-obj_rel_across_anim_all,1
The farmers that love the taxi driver,The farmer that loves the taxi driver,ML-subj_rel_all,1
The surgeon that hates the skater,The surgeons that hate the skater,ML-subj_rel_all,0
The show that the assistant likes,The shows that the assistant likes,ML-obj_rel_across_inanim_all,0
The consultants next to the architects,The consultant next to the architects,ML-prep_anim_all,1
The teachers that the parents admire,The teacher that the parents admire,ML-obj_rel_across_anim_all,1
The movie the parents admire,The movies the parents admire,ML-obj_rel_no_comp_across_inanim_all,0
The farmer that the minister admires,The farmers that the minister admires,ML-obj_rel_across_anim_all,0
The farmer that the taxi drivers love,The farmers that the taxi drivers love,ML-obj_rel_across_anim_all,0
The authors the architects like,The author the architects like,ML-obj_rel_no_comp_across_anim_all,1
The teacher that loves the dancer,The teachers that love the dancer,ML-subj_rel_all,0
The manager that hates the architects,The managers that hate the architects,ML-subj_rel_all,0
The poem the minister likes,The poems the minister likes,ML-obj_rel_no_comp_across_inanim_all,0
The officer that the parent loves,The officers that the parent loves,ML-obj_rel_across_anim_all,0
The poem the architects hate,The poems the architects hate,ML-obj_rel_no_comp_across_inanim_all,0
The books from the ministers,The book from the ministers,ML-prep_inanim_all,1
The senator the taxi driver loves,The senators the taxi driver loves,ML-obj_rel_no_comp_across_anim_all,0
The officers that like the ministers,The officer that likes the ministers,ML-subj_rel_all,1
The author that the executive hates,The authors that the executive hates,ML-obj_rel_across_anim_all,0
The customer next to the chef,The customers next to the chef,ML-prep_anim_all,0
The consultant that the chefs love,The consultants that the chefs love,ML-obj_rel_across_anim_all,0
The customers the architect loves,The customer the architect loves,ML-obj_rel_no_comp_across_anim_all,1
The novel that the assistants admire,The novels that the assistants admire,ML-obj_rel_across_inanim_all,0
The teachers across from the architects,The teacher across from the architects,ML-prep_anim_all,1
The authors the dancer,The authors the dancers,ML-obj_rel_no_comp_within_anim_all,0
The farmers the dancer admires,The farmer the dancer admires,ML-obj_rel_no_comp_across_anim_all,1
The books that the ministers like,The book that the ministers like,ML-obj_rel_across_inanim_all,1
The movies the architect,The movies the architects,ML-obj_rel_no_comp_within_inanim_all,0
The movie the taxi driver admires,The movies the taxi driver admires,ML-obj_rel_no_comp_across_inanim_all,0
The pilots to the side of the guard,The pilot to the side of the guard,ML-prep_anim_all,1
The movies that the parents admire,The movie that the parents admire,ML-obj_rel_across_inanim_all,1
The paintings that the dancer loves,The painting that the dancer loves,ML-obj_rel_across_inanim_all,1
The senators near the dancer,The senator near the dancer,ML-prep_anim_all,1
The poems from the chef,The poem from the chef,ML-prep_inanim_all,1
The authors that the assistants hate,The author that the assistants hate,ML-obj_rel_across_anim_all,1
The pilot that the parents like,The pilots that the parents like,ML-obj_rel_across_anim_all,0
The shows that the minister likes,The show that the minister likes,ML-obj_rel_across_inanim_all,1
The picture that the parent loves,The pictures that the parent loves,ML-obj_rel_across_inanim_all,0
The managers behind the ministers,The manager behind the ministers,ML-prep_anim_all,1
The authors the architects admire,The author the architects admire,ML-obj_rel_no_comp_across_anim_all,1
The farmers the parent admires,The farmer the parent admires,ML-obj_rel_no_comp_across_anim_all,1
The picture the minister hates,The pictures the minister hates,ML-obj_rel_no_comp_across_inanim_all,0
The teacher that the skaters love,The teachers that the skaters love,ML-obj_rel_across_anim_all,0
The paintings the taxi driver loves,The painting the taxi driver loves,ML-obj_rel_no_comp_across_inanim_all,1
The consultant that the skater loves,The consultants that the skater loves,ML-obj_rel_across_anim_all,0
The song that the architect hates,The songs that the architect hates,ML-obj_rel_across_inanim_all,0
The customer that hates the executive,The customers that hate the executive,ML-subj_rel_all,0
The customers across from the parents,The customer across from the parents,ML-prep_anim_all,1
The poems that the minister admires,The poem that the minister admires,ML-obj_rel_across_inanim_all,1
The show that the skaters,The show that the skater,ML-obj_rel_within_inanim_all,1
The novel the chef loves,The novels the chef loves,ML-obj_rel_no_comp_across_inanim_all,0
The teachers that the architects,The teachers that the architect,ML-obj_rel_within_anim_all,1
The surgeon near the dancer,The surgeons near the dancer,ML-prep_anim_all,0
The officers the assistant hates,The officer the assistant hates,ML-obj_rel_no_comp_across_anim_all,1
The show that the taxi drivers hate,The shows that the taxi drivers hate,ML-obj_rel_across_inanim_all,0
The managers the ministers love,The manager the ministers love,ML-obj_rel_no_comp_across_anim_all,1
The officers the minister hates,The officer the minister hates,ML-obj_rel_no_comp_across_anim_all,1
The novel that the executive loves,The novels that the executive loves,ML-obj_rel_across_inanim_all,0
The pilot behind the assistant,The pilots behind the assistant,ML-prep_anim_all,0
The consultants the chef likes,The consultant the chef likes,ML-obj_rel_no_comp_across_anim_all,1
The movie the parents,The movie the parent,ML-obj_rel_no_comp_within_inanim_all,1
The consultant that the executive hates,The consultants that the executive hates,ML-obj_rel_across_anim_all,0
The officers near the architect,The officer near the architect,ML-prep_anim_all,1
The consultants the dancers admire,The consultant the dancers admire,ML-obj_rel_no_comp_across_anim_all,1
The manager that the taxi drivers hate,The managers that the taxi drivers hate,ML-obj_rel_across_anim_all,0
The surgeon the executive likes,The surgeons the executive likes,ML-obj_rel_no_comp_across_anim_all,0
The books by the guard,The book by the guard,ML-prep_inanim_all,1
The surgeons across from the ministers,The surgeon across from the ministers,ML-prep_anim_all,1
The novels the dancer loves,The novel the dancer loves,ML-obj_rel_no_comp_across_inanim_all,1
The surgeon behind the assistants,The surgeons behind the assistants,ML-prep_anim_all,0
The farmer that the architects admire,The farmers that the architects admire,ML-obj_rel_across_anim_all,0
The pictures that the executives like,The picture that the executives like,ML-obj_rel_across_inanim_all,1
The pilots behind the executive,The pilot behind the executive,ML-prep_anim_all,1
The farmers in front of the guard,The farmer in front of the guard,ML-prep_anim_all,1
The customer the executives admire,The customers the executives admire,ML-obj_rel_no_comp_across_anim_all,0
The painting the assistants love,The paintings the assistants love,ML-obj_rel_no_comp_across_inanim_all,0
The novel that the skaters love,The novels that the skaters love,ML-obj_rel_across_inanim_all,0
The farmers the taxi driver loves,The farmer the taxi driver loves,ML-obj_rel_no_comp_across_anim_all,1
The senators next to the chefs,The senator next to the chefs,ML-prep_anim_all,1
The officers that love the executive,The officer that loves the executive,ML-subj_rel_all,1
The farmer that the ministers like,The farmers that the ministers like,ML-obj_rel_across_anim_all,0
The teachers that the architects hate,The teacher that the architects hate,ML-obj_rel_across_anim_all,1
The pilot next to the parents,The pilots next to the parents,ML-prep_anim_all,0
The authors in front of the executive,The author in front of the executive,ML-prep_anim_all,1
The movie the dancer hates,The movies the dancer hates,ML-obj_rel_no_comp_across_inanim_all,0
The farmer the parents,The farmer the parent,ML-obj_rel_no_comp_within_anim_all,1
The authors that the assistants like,The author that the assistants like,ML-obj_rel_across_anim_all,1
The customer the skaters like,The customers the skaters like,ML-obj_rel_no_comp_across_anim_all,0
The teachers that hate the assistants,The teacher that hates the assistants,ML-subj_rel_all,1
The pilot the architect hates,The pilots the architect hates,ML-obj_rel_no_comp_across_anim_all,0
The painting that the dancer hates,The paintings that the dancer hates,ML-obj_rel_across_inanim_all,0
The teachers that like the taxi drivers,The teacher that likes the taxi drivers,ML-subj_rel_all,1
The surgeon that hates the guard,The surgeons that hate the guard,ML-subj_rel_all,0
The poems the skater,The poems the skaters,ML-obj_rel_no_comp_within_inanim_all,0
The painting that the dancer,The painting that the dancers,ML-obj_rel_within_inanim_all,0
The pictures the assistant loves,The picture the assistant loves,ML-obj_rel_no_comp_across_inanim_all,1
The poem that the chefs love,The poems that the chefs love,ML-obj_rel_across_inanim_all,0
The officer the parent likes,The officers the parent likes,ML-obj_rel_no_comp_across_anim_all,0
The pilot that likes the ministers,The pilots that like the ministers,ML-subj_rel_all,0
The painting that the skaters admire,The paintings that the skaters admire,ML-obj_rel_across_inanim_all,0
The pictures that the taxi drivers admire,The picture that the taxi drivers admire,ML-obj_rel_across_inanim_all,1
The books by the dancers,The book by the dancers,ML-prep_inanim_all,1
The picture the skater hates,The pictures the skater hates,ML-obj_rel_no_comp_across_inanim_all,0
The managers behind the guards,The manager behind the guards,ML-prep_anim_all,1
The novel that the ministers admire,The novels that the ministers admire,ML-obj_rel_across_inanim_all,0
The customers that the executive admires,The customer that the executive admires,ML-obj_rel_across_anim_all,1
The senators that the chef likes,The senator that the chef likes,ML-obj_rel_across_anim_all,1
The teachers next to the executive,The teacher next to the executive,ML-prep_anim_all,1
The manager behind the minister,The managers behind the minister,ML-prep_anim_all,0
The farmers next to the guard,The farmer next to the guard,ML-prep_anim_all,1
The authors that like the executive,The author that likes the executive,ML-subj_rel_all,1
The songs the executive admires,The song the executive admires,ML-obj_rel_no_comp_across_inanim_all,1
The poem the skater admires,The poems the skater admires,ML-obj_rel_no_comp_across_inanim_all,0
The show that the architect hates,The shows that the architect hates,ML-obj_rel_across_inanim_all,0
The novels that the chef,The novels that the chefs,ML-obj_rel_within_inanim_all,0
The customers that like the minister,The customer that likes the minister,ML-subj_rel_all,1
The senator to the side of the parents,The senators to the side of the parents,ML-prep_anim_all,0
The consultant that the taxi driver hates,The consultants that the taxi driver hates,ML-obj_rel_across_anim_all,0
The picture the taxi driver,The picture the taxi drivers,ML-obj_rel_no_comp_within_inanim_all,0
The customers that the assistant loves,The customer that the assistant loves,ML-obj_rel_across_anim_all,1
The picture by the guards,The pictures by the guards,ML-prep_inanim_all,0
The songs that the guard loves,The song that the guard loves,ML-obj_rel_across_inanim_all,1
The authors to the side of the executives,The author to the side of the executives,ML-prep_anim_all,1
The farmer laughs and,The farmers laugh and,ML-vp_coord_all,0
The consultant that the taxi drivers like,The consultants that the taxi drivers like,ML-obj_rel_across_anim_all,0
The authors the taxi driver likes,The author the taxi driver likes,ML-obj_rel_no_comp_across_anim_all,1
The senators to the side of the chef,The senator to the side of the chef,ML-prep_anim_all,1
The authors to the side of the guards,The author to the side of the guards,ML-prep_anim_all,1
The officer the skater,The officer the skaters,ML-obj_rel_no_comp_within_anim_all,0
The book by the parent,The books by the parent,ML-prep_inanim_all,0
The teachers that hate the dancer,The teacher that hates the dancer,ML-subj_rel_all,1
The show by the dancer,The shows by the dancer,ML-prep_inanim_all,0
The officers that the taxi driver admires,The officer that the taxi driver admires,ML-obj_rel_across_anim_all,1
The pictures the minister loves,The picture the minister loves,ML-obj_rel_no_comp_across_inanim_all,1
The movies the parents hate,The movie the parents hate,ML-obj_rel_no_comp_across_inanim_all,1
The book that the architect,The book that the architects,ML-obj_rel_within_inanim_all,0
The banker said the pilot,The banker said the pilots,ML-sent_comp_all,0
The paintings that the executives admire,The painting that the executives admire,ML-obj_rel_across_inanim_all,1
The senators the chefs,The senators the chef,ML-obj_rel_no_comp_within_anim_all,1
The farmers the skaters love,The farmer the skaters love,ML-obj_rel_no_comp_across_anim_all,1
The movies that the skaters like,The movie that the skaters like,ML-obj_rel_across_inanim_all,1
The bankers thought the author,The bankers thought the authors,ML-sent_comp_all,0
The farmers that like the dancer,The farmer that likes the dancer,ML-subj_rel_all,1
The authors the skater,The authors the skaters,ML-obj_rel_no_comp_within_anim_all,0
The author across from the assistants,The authors across from the assistants,ML-prep_anim_all,0
The author that the executive admires,The authors that the executive admires,ML-obj_rel_across_anim_all,0
The pilot the parent,The pilot the parents,ML-obj_rel_no_comp_within_anim_all,0
The senator the chef,The senator the chefs,ML-obj_rel_no_comp_within_anim_all,0
The senator is twenty three years old and,The senators are twenty three years old and,ML-long_vp_coord_all,0
The farmer the ministers like,The farmers the ministers like,ML-obj_rel_no_comp_across_anim_all,0
The authors that hate the assistant,The author that hates the assistant,ML-subj_rel_all,1
The games that the parents like,The game that the parents like,ML-obj_rel_across_inanim_all,1
The managers the assistants hate,The manager the assistants hate,ML-obj_rel_no_comp_across_anim_all,1
The pilot across from the guard,The pilots across from the guard,ML-prep_anim_all,0
The poem the executive loves,The poems the executive loves,ML-obj_rel_no_comp_across_inanim_all,0
The senators that the taxi drivers hate,The senator that the taxi drivers hate,ML-obj_rel_across_anim_all,1
The painting from the dancer,The paintings from the dancer,ML-prep_inanim_all,0
The teacher that the parents hate,The teachers that the parents hate,ML-obj_rel_across_anim_all,0
The teachers near the assistants,The teacher near the assistants,ML-prep_anim_all,1
The paintings the minister hates,The painting the minister hates,ML-obj_rel_no_comp_across_inanim_all,1
The consultants to the side of the executive,The consultant to the side of the executive,ML-prep_anim_all,1
The pilots that the guards hate,The pilot that the guards hate,ML-obj_rel_across_anim_all,1
The show that the skaters love,The shows that the skaters love,ML-obj_rel_across_inanim_all,0
The manager behind the executives,The managers behind the executives,ML-prep_anim_all,0
The officers next to the assistants,The officer next to the assistants,ML-prep_anim_all,1
The show that the assistants love,The shows that the assistants love,ML-obj_rel_across_inanim_all,0
The customer the skater,The customer the skaters,ML-obj_rel_no_comp_within_anim_all,0
The farmers that the skaters love,The farmer that the skaters love,ML-obj_rel_across_anim_all,1
The painting that the assistant hates,The paintings that the assistant hates,ML-obj_rel_across_inanim_all,0
The farmers the skater hates,The farmer the skater hates,ML-obj_rel_no_comp_across_anim_all,1
The surgeons the assistants hate,The surgeon the assistants hate,ML-obj_rel_no_comp_across_anim_all,1
The pilot the assistants admire,The pilots the assistants admire,ML-obj_rel_no_comp_across_anim_all,0
The manager near the executives,The managers near the executives,ML-prep_anim_all,0
The song that the minister admires,The songs that the minister admires,ML-obj_rel_across_inanim_all,0
The pictures that the ministers admire,The picture that the ministers admire,ML-obj_rel_across_inanim_all,1
The song that the guard admires,The songs that the guard admires,ML-obj_rel_across_inanim_all,0
The customer to the side of the architect,The customers to the side of the architect,ML-prep_anim_all,0
The painting that the ministers like,The paintings that the ministers like,ML-obj_rel_across_inanim_all,0
The surgeons the assistants like,The surgeon the assistants like,ML-obj_rel_no_comp_across_anim_all,1
The author next to the dancer,The authors next to the dancer,ML-prep_anim_all,0
The novels the chefs admire,The novel the chefs admire,ML-obj_rel_no_comp_across_inanim_all,1
The song by the parents,The songs by the parents,ML-prep_inanim_all,0
The novel the architect likes,The novels the architect likes,ML-obj_rel_no_comp_across_inanim_all,0
The book that the dancers hate,The books that the dancers hate,ML-obj_rel_across_inanim_all,0
The customer next to the parent,The customers next to the parent,ML-prep_anim_all,0
The novels that the assistants,The novels that the assistant,ML-obj_rel_within_inanim_all,1
The pilot that the guards,The pilot that the guard,ML-obj_rel_within_anim_all,1
The customer behind the taxi drivers,The customers behind the taxi drivers,ML-prep_anim_all,0
The surgeon that the taxi drivers love,The surgeons that the taxi drivers love,ML-obj_rel_across_anim_all,0
The managers the guard,The managers the guards,ML-obj_rel_no_comp_within_anim_all,0
The pilot that the guard hates,The pilots that the guard hates,ML-obj_rel_across_anim_all,0
The book that the executives admire,The books that the executives admire,ML-obj_rel_across_inanim_all,0
The teacher that loves the executive,The teachers that love the executive,ML-subj_rel_all,0
The teacher the architects love,The teachers the architects love,ML-obj_rel_no_comp_across_anim_all,0
The shows that the chef hates,The show that the chef hates,ML-obj_rel_across_inanim_all,1
The songs that the architect,The songs that the architects,ML-obj_rel_within_inanim_all,0
The customer in front of the taxi driver,The customers in front of the taxi driver,ML-prep_anim_all,0
The novel the assistants hate,The novels the assistants hate,ML-obj_rel_no_comp_across_inanim_all,0
The picture that the chefs hate,The pictures that the chefs hate,ML-obj_rel_across_inanim_all,0
The teachers are tall and,The teacher is tall and,ML-vp_coord_all,1
The shows the assistants hate,The show the assistants hate,ML-obj_rel_no_comp_across_inanim_all,1
The movie that the chefs admire,The movies that the chefs admire,ML-obj_rel_across_inanim_all,0
The senator the dancer admires,The senators the dancer admires,ML-obj_rel_no_comp_across_anim_all,0
The teacher that the ministers admire,The teachers that the ministers admire,ML-obj_rel_across_anim_all,0
The manager the minister likes,The managers the minister likes,ML-obj_rel_no_comp_across_anim_all,0
The farmers in front of the executive,The farmer in front of the executive,ML-prep_anim_all,1
The surgeons that hate the architects,The surgeon that hates the architects,ML-subj_rel_all,1
The officers that the dancers like,The officer that the dancers like,ML-obj_rel_across_anim_all,1
The painting by the assistants,The paintings by the assistants,ML-prep_inanim_all,0
The books from the guard,The book from the guard,ML-prep_inanim_all,1
The officers the ministers admire,The officer the ministers admire,ML-obj_rel_no_comp_across_anim_all,1
The painting the ministers hate,The paintings the ministers hate,ML-obj_rel_no_comp_across_inanim_all,0
The mechanic said the author,The mechanic said the authors,ML-sent_comp_all,0
The senators the guards admire,The senator the guards admire,ML-obj_rel_no_comp_across_anim_all,1
The teachers across from the executive,The teacher across from the executive,ML-prep_anim_all,1
The painting that the skater,The painting that the skaters,ML-obj_rel_within_inanim_all,0
The consultants that the guards,The consultants that the guard,ML-obj_rel_within_anim_all,1
The teacher to the side of the executive,The teachers to the side of the executive,ML-prep_anim_all,0
The pilot that the executives like,The pilots that the executives like,ML-obj_rel_across_anim_all,0
The novel the architects like,The novels the architects like,ML-obj_rel_no_comp_across_inanim_all,0
The movies the guards love,The movie the guards love,ML-obj_rel_no_comp_across_inanim_all,1
The surgeon near the parent,The surgeons near the parent,ML-prep_anim_all,0
The novel from the chefs,The novels from the chefs,ML-prep_inanim_all,0
The pilots across from the skater,The pilot across from the skater,ML-prep_anim_all,1
The paintings that the architects love,The painting that the architects love,ML-obj_rel_across_inanim_all,1
The consultants across from the architects,The consultant across from the architects,ML-prep_anim_all,1
The poems that the dancers like,The poem that the dancers like,ML-obj_rel_across_inanim_all,1
The senator is short and,The senators are short and,ML-vp_coord_all,0
The consultants near the executives,The consultant near the executives,ML-prep_anim_all,1
The consultants next to the skater,The consultant next to the skater,ML-prep_anim_all,1
The surgeons to the side of the skater,The surgeon to the side of the skater,ML-prep_anim_all,1
The movies that the chef likes,The movie that the chef likes,ML-obj_rel_across_inanim_all,1
The farmer the assistants hate,The farmers the assistants hate,ML-obj_rel_no_comp_across_anim_all,0
The farmers in front of the skaters,The farmer in front of the skaters,ML-prep_anim_all,1
The farmers that hate the parent,The farmer that hates the parent,ML-subj_rel_all,1
The customers the dancer hates,The customer the dancer hates,ML-obj_rel_no_comp_across_anim_all,1
The author the minister,The author the ministers,ML-obj_rel_no_comp_within_anim_all,0
The managers that hate the guards,The manager that hates the guards,ML-subj_rel_all,1
The novel from the assistants,The novels from the assistants,ML-prep_inanim_all,0
The senator the dancer hates,The senators the dancer hates,ML-obj_rel_no_comp_across_anim_all,0
The songs the executives like,The song the executives like,ML-obj_rel_no_comp_across_inanim_all,1
The teacher the skaters admire,The teachers the skaters admire,ML-obj_rel_no_comp_across_anim_all,0
The officer next to the chef,The officers next to the chef,ML-prep_anim_all,0
The teacher that loves the guards,The teachers that love the guards,ML-subj_rel_all,0
The teachers that the guards,The teachers that the guard,ML-obj_rel_within_anim_all,1
The shows that the guard hates,The show that the guard hates,ML-obj_rel_across_inanim_all,1
The authors behind the parent,The author behind the parent,ML-prep_anim_all,1
The game the architect hates,The games the architect hates,ML-obj_rel_no_comp_across_inanim_all,0
The managers across from the architects,The manager across from the architects,ML-prep_anim_all,1
The pilots that hate the skaters,The pilot that hates the skaters,ML-subj_rel_all,1
The teacher next to the parent,The teachers next to the parent,ML-prep_anim_all,0
The shows that the architects admire,The show that the architects admire,ML-obj_rel_across_inanim_all,1
The officers that like the skater,The officer that likes the skater,ML-subj_rel_all,1
The consultants the executive loves,The consultant the executive loves,ML-obj_rel_no_comp_across_anim_all,1
The games the chef admires,The game the chef admires,ML-obj_rel_no_comp_across_inanim_all,1
The picture the architect admires,The pictures the architect admires,ML-obj_rel_no_comp_across_inanim_all,0
The consultant the chef,The consultant the chefs,ML-obj_rel_no_comp_within_anim_all,0
The songs that the architects love,The song that the architects love,ML-obj_rel_across_inanim_all,1
The manager the assistants admire,The managers the assistants admire,ML-obj_rel_no_comp_across_anim_all,0
The pictures that the parent loves,The picture that the parent loves,ML-obj_rel_across_inanim_all,1
The officer that the taxi driver likes,The officers that the taxi driver likes,ML-obj_rel_across_anim_all,0
The show the assistants,The show the assistant,ML-obj_rel_no_comp_within_inanim_all,1
The pictures that the chef admires,The picture that the chef admires,ML-obj_rel_across_inanim_all,1
The author is young and,The authors are young and,ML-vp_coord_all,0
The senator that the skaters like,The senators that the skaters like,ML-obj_rel_across_anim_all,0
The game that the chefs hate,The games that the chefs hate,ML-obj_rel_across_inanim_all,0
The novels the minister loves,The novel the minister loves,ML-obj_rel_no_comp_across_inanim_all,1
The poem by the guards,The poems by the guards,ML-prep_inanim_all,0
The senator that likes the executives,The senators that like the executives,ML-subj_rel_all,0
The author in front of the dancers,The authors in front of the dancers,ML-prep_anim_all,0
The paintings by the skaters,The painting by the skaters,ML-prep_inanim_all,1
The officers the executives admire,The officer the executives admire,ML-obj_rel_no_comp_across_anim_all,1
The novels the assistant loves,The novel the assistant loves,ML-obj_rel_no_comp_across_inanim_all,1
The teacher that the assistants like,The teachers that the assistants like,ML-obj_rel_across_anim_all,0
The movie by the minister,The movies by the minister,ML-prep_inanim_all,0
The books the skater loves,The book the skater loves,ML-obj_rel_no_comp_across_inanim_all,1
The novel the skaters love,The novels the skaters love,ML-obj_rel_no_comp_across_inanim_all,0
The picture by the minister,The pictures by the minister,ML-prep_inanim_all,0
The surgeon the assistants hate,The surgeons the assistants hate,ML-obj_rel_no_comp_across_anim_all,0
The consultants the parents love,The consultant the parents love,ML-obj_rel_no_comp_across_anim_all,1
The teachers the architects,The teachers the architect,ML-obj_rel_no_comp_within_anim_all,1
The author to the side of the taxi driver,The authors to the side of the taxi driver,ML-prep_anim_all,0
The customer to the side of the taxi driver,The customers to the side of the taxi driver,ML-prep_anim_all,0
The author that hates the architects,The authors that hate the architects,ML-subj_rel_all,0
The teacher behind the parents,The teachers behind the parents,ML-prep_anim_all,0
The shows that the chefs hate,The show that the chefs hate,ML-obj_rel_across_inanim_all,1
The senators across from the assistant,The senator across from the assistant,ML-prep_anim_all,1
The author next to the assistants,The authors next to the assistants,ML-prep_anim_all,0
The officers to the side of the taxi drivers,The officer to the side of the taxi drivers,ML-prep_anim_all,1
The author to the side of the minister,The authors to the side of the minister,ML-prep_anim_all,0
The teacher next to the minister,The teachers next to the minister,ML-prep_anim_all,0
The movie the assistants love,The movies the assistants love,ML-obj_rel_no_comp_across_inanim_all,0
The managers next to the minister,The manager next to the minister,ML-prep_anim_all,1
The officers are tall and,The officer is tall and,ML-vp_coord_all,1
The show by the guards,The shows by the guards,ML-prep_inanim_all,0
The song the executive likes,The songs the executive likes,ML-obj_rel_no_comp_across_inanim_all,0
The manager near the parent,The managers near the parent,ML-prep_anim_all,0
The book by the architect,The books by the architect,ML-prep_inanim_all,0
The show the guards hate,The shows the guards hate,ML-obj_rel_no_comp_across_inanim_all,0
The pilot that the ministers admire,The pilots that the ministers admire,ML-obj_rel_across_anim_all,0
The surgeons that the taxi driver likes,The surgeon that the taxi driver likes,ML-obj_rel_across_anim_all,1
The farmers in front of the architect,The farmer in front of the architect,ML-prep_anim_all,1
The senators near the architects,The senator near the architects,ML-prep_anim_all,1
The author behind the skater,The authors behind the skater,ML-prep_anim_all,0
The movie that the parent loves,The movies that the parent loves,ML-obj_rel_across_inanim_all,0
The game that the assistant hates,The games that the assistant hates,ML-obj_rel_across_inanim_all,0
The paintings that the minister loves,The painting that the minister loves,ML-obj_rel_across_inanim_all,1
The authors that like the parents,The author that likes the parents,ML-subj_rel_all,1
The teachers to the side of the architects,The teacher to the side of the architects,ML-prep_anim_all,1
The movies the taxi driver,The movies the taxi drivers,ML-obj_rel_no_comp_within_inanim_all,0
The novels by the dancers,The novel by the dancers,ML-prep_inanim_all,1
The surgeon that the assistant likes,The surgeons that the assistant likes,ML-obj_rel_across_anim_all,0
The senators that the chefs like,The senator that the chefs like,ML-obj_rel_across_anim_all,1
The teachers that the guard,The teachers that the guards,ML-obj_rel_within_anim_all,0
The paintings that the taxi driver,The paintings that the taxi drivers,ML-obj_rel_within_inanim_all,0
The officers the architects hate,The officer the architects hate,ML-obj_rel_no_comp_across_anim_all,1
The officers that the taxi drivers love,The officer that the taxi drivers love,ML-obj_rel_across_anim_all,1
The novels that the chefs hate,The novel that the chefs hate,ML-obj_rel_across_inanim_all,1
The author the executives hate,The authors the executives hate,ML-obj_rel_no_comp_across_anim_all,0
The game that the assistants love,The games that the assistants love,ML-obj_rel_across_inanim_all,0
The pilots behind the architect,The pilot behind the architect,ML-prep_anim_all,1
The surgeons across from the dancers,The surgeon across from the dancers,ML-prep_anim_all,1
The book the skater,The book the skaters,ML-obj_rel_no_comp_within_inanim_all,0
The managers behind the chefs,The manager behind the chefs,ML-prep_anim_all,1
The pictures that the dancer admires,The picture that the dancer admires,ML-obj_rel_across_inanim_all,1
The author across from the architects,The authors across from the architects,ML-prep_anim_all,0
The pilots that the minister admires,The pilot that the minister admires,ML-obj_rel_across_anim_all,1
The senator that the taxi driver admires,The senators that the taxi driver admires,ML-obj_rel_across_anim_all,0
The teachers that the parents,The teachers that the parent,ML-obj_rel_within_anim_all,1
The customer that loves the executive,The customers that love the executive,ML-subj_rel_all,0
The customer the architect loves,The customers the architect loves,ML-obj_rel_no_comp_across_anim_all,0
The manager to the side of the assistants,The managers to the side of the assistants,ML-prep_anim_all,0
The customer to the side of the executives,The customers to the side of the executives,ML-prep_anim_all,0
The manager the guard hates,The managers the guard hates,ML-obj_rel_no_comp_across_anim_all,0
The song from the dancer,The songs from the dancer,ML-prep_inanim_all,0
The pilot the architects like,The pilots the architects like,ML-obj_rel_no_comp_across_anim_all,0
The books the executives love,The book the executives love,ML-obj_rel_no_comp_across_inanim_all,1
The novel that the parent,The novel that the parents,ML-obj_rel_within_inanim_all,0
The books that the dancer hates,The book that the dancer hates,ML-obj_rel_across_inanim_all,1
The painting that the executives,The painting that the executive,ML-obj_rel_within_inanim_all,1
The senator to the side of the architect,The senators to the side of the architect,ML-prep_anim_all,0
The senator that the architect,The senator that the architects,ML-obj_rel_within_anim_all,0
The manager next to the assistant,The managers next to the assistant,ML-prep_anim_all,0
