,clean,corrupted,group,plural
1711,The novel the architects love,The novels the architects love,ML-obj_rel_no_comp_across_inanim_all,0
1712,The novel the skaters like,The novels the skaters like,ML-obj_rel_no_comp_across_inanim_all,0
1713,The novel the skaters admire,The novels the skaters admire,ML-obj_rel_no_comp_across_inanim_all,0
1714,The novel the skaters hate,The novels the skaters hate,ML-obj_rel_no_comp_across_inanim_all,0
1715,The novel the skaters love,The novels the skaters love,ML-obj_rel_no_comp_across_inanim_all,0
1716,The novel the dancers like,The novels the dancers like,ML-obj_rel_no_comp_across_inanim_all,0
1717,The novel the dancers admire,The novels the dancers admire,ML-obj_rel_no_comp_across_inanim_all,0
1718,The novel the dancers hate,The novels the dancers hate,ML-obj_rel_no_comp_across_inanim_all,0
1719,The novel the dancers love,The novels the dancers love,ML-obj_rel_no_comp_across_inanim_all,0
1720,The novel the ministers like,The novels the ministers like,ML-obj_rel_no_comp_across_inanim_all,0
1721,The novel the ministers admire,The novels the ministers admire,ML-obj_rel_no_comp_across_inanim_all,0
1722,The novel the ministers hate,The novels the ministers hate,ML-obj_rel_no_comp_across_inanim_all,0
1723,The novel the ministers love,The novels the ministers love,ML-obj_rel_no_comp_across_inanim_all,0
1724,The novel the taxi drivers like,The novels the taxi drivers like,ML-obj_rel_no_comp_across_inanim_all,0
1725,The novel the taxi drivers admire,The novels the taxi drivers admire,ML-obj_rel_no_comp_across_inanim_all,0
1726,The novel the taxi drivers hate,The novels the taxi drivers hate,ML-obj_rel_no_comp_across_inanim_all,0
1727,The novel the taxi drivers love,The novels the taxi drivers love,ML-obj_rel_no_comp_across_inanim_all,0
1728,The novel the assistants like,The novels the assistants like,ML-obj_rel_no_comp_across_inanim_all,0
1729,The novel the assistants admire,The novels the assistants admire,ML-obj_rel_no_comp_across_inanim_all,0
1730,The novel the assistants hate,The novels the assistants hate,ML-obj_rel_no_comp_across_inanim_all,0
1731,The novel the assistants love,The novels the assistants love,ML-obj_rel_no_comp_across_inanim_all,0
1732,The novel the executives like,The novels the executives like,ML-obj_rel_no_comp_across_inanim_all,0
1733,The novel the executives admire,The novels the executives admire,ML-obj_rel_no_comp_across_inanim_all,0
1734,The novel the executives hate,The novels the executives hate,ML-obj_rel_no_comp_across_inanim_all,0
1735,The novel the executives love,The novels the executives love,ML-obj_rel_no_comp_across_inanim_all,0
1736,The novel the parents like,The novels the parents like,ML-obj_rel_no_comp_across_inanim_all,0
1737,The novel the parents admire,The novels the parents admire,ML-obj_rel_no_comp_across_inanim_all,0
1738,The novel the parents hate,The novels the parents hate,ML-obj_rel_no_comp_across_inanim_all,0
1739,The novel the parents love,The novels the parents love,ML-obj_rel_no_comp_across_inanim_all,0
1740,The poem the guards like,The poems the guards like,ML-obj_rel_no_comp_across_inanim_all,0
1741,The poem the guards admire,The poems the guards admire,ML-obj_rel_no_comp_across_inanim_all,0
1742,The poem the guards hate,The poems the guards hate,ML-obj_rel_no_comp_across_inanim_all,0
1743,The poem the guards love,The poems the guards love,ML-obj_rel_no_comp_across_inanim_all,0
1744,The poem the chefs like,The poems the chefs like,ML-obj_rel_no_comp_across_inanim_all,0
1745,The poem the chefs admire,The poems the chefs admire,ML-obj_rel_no_comp_across_inanim_all,0
1746,The poem the chefs hate,The poems the chefs hate,ML-obj_rel_no_comp_across_inanim_all,0
1747,The poem the chefs love,The poems the chefs love,ML-obj_rel_no_comp_across_inanim_all,0
1748,The poem the architects like,The poems the architects like,ML-obj_rel_no_comp_across_inanim_all,0
1749,The poem the architects admire,The poems the architects admire,ML-obj_rel_no_comp_across_inanim_all,0
1750,The poem the architects hate,The poems the architects hate,ML-obj_rel_no_comp_across_inanim_all,0
1751,The poem the architects love,The poems the architects love,ML-obj_rel_no_comp_across_inanim_all,0
1752,The poem the skaters like,The poems the skaters like,ML-obj_rel_no_comp_across_inanim_all,0
1753,The poem the skaters admire,The poems the skaters admire,ML-obj_rel_no_comp_across_inanim_all,0
1754,The poem the skaters hate,The poems the skaters hate,ML-obj_rel_no_comp_across_inanim_all,0
1755,The poem the skaters love,The poems the skaters love,ML-obj_rel_no_comp_across_inanim_all,0
1756,The poem the dancers like,The poems the dancers like,ML-obj_rel_no_comp_across_inanim_all,0
1757,The poem the dancers admire,The poems the dancers admire,ML-obj_rel_no_comp_across_inanim_all,0
1758,The poem the dancers hate,The poems the dancers hate,ML-obj_rel_no_comp_across_inanim_all,0
1759,The poem the dancers love,The poems the dancers love,ML-obj_rel_no_comp_across_inanim_all,0
1760,The poem the ministers like,The poems the ministers like,ML-obj_rel_no_comp_across_inanim_all,0
1761,The poem the ministers admire,The poems the ministers admire,ML-obj_rel_no_comp_across_inanim_all,0
1762,The poem the ministers hate,The poems the ministers hate,ML-obj_rel_no_comp_across_inanim_all,0
1763,The poem the ministers love,The poems the ministers love,ML-obj_rel_no_comp_across_inanim_all,0
1764,The poem the taxi drivers like,The poems the taxi drivers like,ML-obj_rel_no_comp_across_inanim_all,0
1765,The poem the taxi drivers admire,The poems the taxi drivers admire,ML-obj_rel_no_comp_across_inanim_all,0
1766,The poem the taxi drivers hate,The poems the taxi drivers hate,ML-obj_rel_no_comp_across_inanim_all,0
1767,The poem the taxi drivers love,The poems the taxi drivers love,ML-obj_rel_no_comp_across_inanim_all,0
1768,The poem the assistants like,The poems the assistants like,ML-obj_rel_no_comp_across_inanim_all,0
1769,The poem the assistants admire,The poems the assistants admire,ML-obj_rel_no_comp_across_inanim_all,0
1770,The poem the assistants hate,The poems the assistants hate,ML-obj_rel_no_comp_across_inanim_all,0
1771,The poem the assistants love,The poems the assistants love,ML-obj_rel_no_comp_across_inanim_all,0
1772,The poem the executives like,The poems the executives like,ML-obj_rel_no_comp_across_inanim_all,0
1773,The poem the executives admire,The poems the executives admire,ML-obj_rel_no_comp_across_inanim_all,0
1774,The poem the executives hate,The poems the executives hate,ML-obj_rel_no_comp_across_inanim_all,0
1775,The poem the executives love,The poems the executives love,ML-obj_rel_no_comp_across_inanim_all,0
1776,The poem the parents like,The poems the parents like,ML-obj_rel_no_comp_across_inanim_all,0
1777,The poem the parents admire,The poems the parents admire,ML-obj_rel_no_comp_across_inanim_all,0
1778,The poem the parents hate,The poems the parents hate,ML-obj_rel_no_comp_across_inanim_all,0
1779,The poem the parents love,The poems the parents love,ML-obj_rel_no_comp_across_inanim_all,0
1780,The show the guards like,The shows the guards like,ML-obj_rel_no_comp_across_inanim_all,0
1781,The show the guards admire,The shows the guards admire,ML-obj_rel_no_comp_across_inanim_all,0
1782,The show the guards hate,The shows the guards hate,ML-obj_rel_no_comp_across_inanim_all,0
1783,The show the guards love,The shows the guards love,ML-obj_rel_no_comp_across_inanim_all,0
1784,The show the chefs like,The shows the chefs like,ML-obj_rel_no_comp_across_inanim_all,0
1785,The show the chefs admire,The shows the chefs admire,ML-obj_rel_no_comp_across_inanim_all,0
1786,The show the chefs hate,The shows the chefs hate,ML-obj_rel_no_comp_across_inanim_all,0
1787,The show the chefs love,The shows the chefs love,ML-obj_rel_no_comp_across_inanim_all,0
1788,The show the architects like,The shows the architects like,ML-obj_rel_no_comp_across_inanim_all,0
1789,The show the architects admire,The shows the architects admire,ML-obj_rel_no_comp_across_inanim_all,0
1790,The show the architects hate,The shows the architects hate,ML-obj_rel_no_comp_across_inanim_all,0
1791,The show the architects love,The shows the architects love,ML-obj_rel_no_comp_across_inanim_all,0
1792,The show the skaters like,The shows the skaters like,ML-obj_rel_no_comp_across_inanim_all,0
1793,The show the skaters admire,The shows the skaters admire,ML-obj_rel_no_comp_across_inanim_all,0
1794,The show the skaters hate,The shows the skaters hate,ML-obj_rel_no_comp_across_inanim_all,0
1795,The show the skaters love,The shows the skaters love,ML-obj_rel_no_comp_across_inanim_all,0
1796,The show the dancers like,The shows the dancers like,ML-obj_rel_no_comp_across_inanim_all,0
1797,The show the dancers admire,The shows the dancers admire,ML-obj_rel_no_comp_across_inanim_all,0
1798,The show the dancers hate,The shows the dancers hate,ML-obj_rel_no_comp_across_inanim_all,0
1799,The show the dancers love,The shows the dancers love,ML-obj_rel_no_comp_across_inanim_all,0
1800,The show the ministers like,The shows the ministers like,ML-obj_rel_no_comp_across_inanim_all,0
1801,The show the ministers admire,The shows the ministers admire,ML-obj_rel_no_comp_across_inanim_all,0
1802,The show the ministers hate,The shows the ministers hate,ML-obj_rel_no_comp_across_inanim_all,0
1803,The show the ministers love,The shows the ministers love,ML-obj_rel_no_comp_across_inanim_all,0
1804,The show the taxi drivers like,The shows the taxi drivers like,ML-obj_rel_no_comp_across_inanim_all,0
1805,The show the taxi drivers admire,The shows the taxi drivers admire,ML-obj_rel_no_comp_across_inanim_all,0
1806,The show the taxi drivers hate,The shows the taxi drivers hate,ML-obj_rel_no_comp_across_inanim_all,0
1807,The show the taxi drivers love,The shows the taxi drivers love,ML-obj_rel_no_comp_across_inanim_all,0
1808,The show the assistants like,The shows the assistants like,ML-obj_rel_no_comp_across_inanim_all,0
1809,The show the assistants admire,The shows the assistants admire,ML-obj_rel_no_comp_across_inanim_all,0
1810,The show the assistants hate,The shows the assistants hate,ML-obj_rel_no_comp_across_inanim_all,0
1811,The show the assistants love,The shows the assistants love,ML-obj_rel_no_comp_across_inanim_all,0
1812,The show the executives like,The shows the executives like,ML-obj_rel_no_comp_across_inanim_all,0
1813,The show the executives admire,The shows the executives admire,ML-obj_rel_no_comp_across_inanim_all,0
1814,The show the executives hate,The shows the executives hate,ML-obj_rel_no_comp_across_inanim_all,0
1815,The show the executives love,The shows the executives love,ML-obj_rel_no_comp_across_inanim_all,0
1816,The show the parents like,The shows the parents like,ML-obj_rel_no_comp_across_inanim_all,0
1817,The show the parents admire,The shows the parents admire,ML-obj_rel_no_comp_across_inanim_all,0
1818,The show the parents hate,The shows the parents hate,ML-obj_rel_no_comp_across_inanim_all,0
1819,The show the parents love,The shows the parents love,ML-obj_rel_no_comp_across_inanim_all,0
1820,The movie the guard likes,The movies the guard likes,ML-obj_rel_no_comp_across_inanim_all,0
1821,The movie the guard admires,The movies the guard admires,ML-obj_rel_no_comp_across_inanim_all,0
1822,The movie the guard hates,The movies the guard hates,ML-obj_rel_no_comp_across_inanim_all,0
1823,The movie the guard loves,The movies the guard loves,ML-obj_rel_no_comp_across_inanim_all,0
1824,The movie the chef likes,The movies the chef likes,ML-obj_rel_no_comp_across_inanim_all,0
1825,The movie the chef admires,The movies the chef admires,ML-obj_rel_no_comp_across_inanim_all,0
1826,The movie the chef hates,The movies the chef hates,ML-obj_rel_no_comp_across_inanim_all,0
1827,The movie the chef loves,The movies the chef loves,ML-obj_rel_no_comp_across_inanim_all,0
1828,The movie the architect likes,The movies the architect likes,ML-obj_rel_no_comp_across_inanim_all,0
1829,The movie the architect admires,The movies the architect admires,ML-obj_rel_no_comp_across_inanim_all,0
1830,The movie the architect hates,The movies the architect hates,ML-obj_rel_no_comp_across_inanim_all,0
1831,The movie the architect loves,The movies the architect loves,ML-obj_rel_no_comp_across_inanim_all,0
1832,The movie the skater likes,The movies the skater likes,ML-obj_rel_no_comp_across_inanim_all,0
1833,The movie the skater admires,The movies the skater admires,ML-obj_rel_no_comp_across_inanim_all,0
1834,The movie the skater hates,The movies the skater hates,ML-obj_rel_no_comp_across_inanim_all,0
1835,The movie the skater loves,The movies the skater loves,ML-obj_rel_no_comp_across_inanim_all,0
1836,The movie the dancer likes,The movies the dancer likes,ML-obj_rel_no_comp_across_inanim_all,0
1837,The movie the dancer admires,The movies the dancer admires,ML-obj_rel_no_comp_across_inanim_all,0
1838,The movie the dancer hates,The movies the dancer hates,ML-obj_rel_no_comp_across_inanim_all,0
1839,The movie the dancer loves,The movies the dancer loves,ML-obj_rel_no_comp_across_inanim_all,0
1840,The movie the minister likes,The movies the minister likes,ML-obj_rel_no_comp_across_inanim_all,0
1841,The movie the minister admires,The movies the minister admires,ML-obj_rel_no_comp_across_inanim_all,0
1842,The movie the minister hates,The movies the minister hates,ML-obj_rel_no_comp_across_inanim_all,0
1843,The movie the minister loves,The movies the minister loves,ML-obj_rel_no_comp_across_inanim_all,0
1844,The movie the taxi driver likes,The movies the taxi driver likes,ML-obj_rel_no_comp_across_inanim_all,0
1845,The movie the taxi driver admires,The movies the taxi driver admires,ML-obj_rel_no_comp_across_inanim_all,0
1846,The movie the taxi driver hates,The movies the taxi driver hates,ML-obj_rel_no_comp_across_inanim_all,0
1847,The movie the taxi driver loves,The movies the taxi driver loves,ML-obj_rel_no_comp_across_inanim_all,0
1848,The movie the assistant likes,The movies the assistant likes,ML-obj_rel_no_comp_across_inanim_all,0
1849,The movie the assistant admires,The movies the assistant admires,ML-obj_rel_no_comp_across_inanim_all,0
1850,The movie the assistant hates,The movies the assistant hates,ML-obj_rel_no_comp_across_inanim_all,0
1851,The movie the assistant loves,The movies the assistant loves,ML-obj_rel_no_comp_across_inanim_all,0
1852,The movie the executive likes,The movies the executive likes,ML-obj_rel_no_comp_across_inanim_all,0
1853,The movie the executive admires,The movies the executive admires,ML-obj_rel_no_comp_across_inanim_all,0
1854,The movie the executive hates,The movies the executive hates,ML-obj_rel_no_comp_across_inanim_all,0
1855,The movie the executive loves,The movies the executive loves,ML-obj_rel_no_comp_across_inanim_all,0
1856,The movie the parent likes,The movies the parent likes,ML-obj_rel_no_comp_across_inanim_all,0
1857,The movie the parent admires,The movies the parent admires,ML-obj_rel_no_comp_across_inanim_all,0
1858,The movie the parent hates,The movies the parent hates,ML-obj_rel_no_comp_across_inanim_all,0
1859,The movie the parent loves,The movies the parent loves,ML-obj_rel_no_comp_across_inanim_all,0
1860,The book the guard likes,The books the guard likes,ML-obj_rel_no_comp_across_inanim_all,0
1861,The book the guard admires,The books the guard admires,ML-obj_rel_no_comp_across_inanim_all,0
1862,The book the guard hates,The books the guard hates,ML-obj_rel_no_comp_across_inanim_all,0
1863,The book the guard loves,The books the guard loves,ML-obj_rel_no_comp_across_inanim_all,0
1864,The book the chef likes,The books the chef likes,ML-obj_rel_no_comp_across_inanim_all,0
1865,The book the chef admires,The books the chef admires,ML-obj_rel_no_comp_across_inanim_all,0
1866,The book the chef hates,The books the chef hates,ML-obj_rel_no_comp_across_inanim_all,0
1867,The book the chef loves,The books the chef loves,ML-obj_rel_no_comp_across_inanim_all,0
1868,The book the architect likes,The books the architect likes,ML-obj_rel_no_comp_across_inanim_all,0
1869,The book the architect admires,The books the architect admires,ML-obj_rel_no_comp_across_inanim_all,0
1870,The book the architect hates,The books the architect hates,ML-obj_rel_no_comp_across_inanim_all,0
1871,The book the architect loves,The books the architect loves,ML-obj_rel_no_comp_across_inanim_all,0
1872,The book the skater likes,The books the skater likes,ML-obj_rel_no_comp_across_inanim_all,0
1873,The book the skater admires,The books the skater admires,ML-obj_rel_no_comp_across_inanim_all,0
1874,The book the skater hates,The books the skater hates,ML-obj_rel_no_comp_across_inanim_all,0
1875,The book the skater loves,The books the skater loves,ML-obj_rel_no_comp_across_inanim_all,0
1876,The book the dancer likes,The books the dancer likes,ML-obj_rel_no_comp_across_inanim_all,0
1877,The book the dancer admires,The books the dancer admires,ML-obj_rel_no_comp_across_inanim_all,0
1878,The book the dancer hates,The books the dancer hates,ML-obj_rel_no_comp_across_inanim_all,0
1879,The book the dancer loves,The books the dancer loves,ML-obj_rel_no_comp_across_inanim_all,0
1880,The book the minister likes,The books the minister likes,ML-obj_rel_no_comp_across_inanim_all,0
1881,The book the minister admires,The books the minister admires,ML-obj_rel_no_comp_across_inanim_all,0
1882,The book the minister hates,The books the minister hates,ML-obj_rel_no_comp_across_inanim_all,0
1883,The book the minister loves,The books the minister loves,ML-obj_rel_no_comp_across_inanim_all,0
1884,The book the taxi driver likes,The books the taxi driver likes,ML-obj_rel_no_comp_across_inanim_all,0
1885,The book the taxi driver admires,The books the taxi driver admires,ML-obj_rel_no_comp_across_inanim_all,0
1886,The book the taxi driver hates,The books the taxi driver hates,ML-obj_rel_no_comp_across_inanim_all,0
1887,The book the taxi driver loves,The books the taxi driver loves,ML-obj_rel_no_comp_across_inanim_all,0
1888,The book the assistant likes,The books the assistant likes,ML-obj_rel_no_comp_across_inanim_all,0
1889,The book the assistant admires,The books the assistant admires,ML-obj_rel_no_comp_across_inanim_all,0
1890,The book the assistant hates,The books the assistant hates,ML-obj_rel_no_comp_across_inanim_all,0
1891,The book the assistant loves,The books the assistant loves,ML-obj_rel_no_comp_across_inanim_all,0
1892,The book the executive likes,The books the executive likes,ML-obj_rel_no_comp_across_inanim_all,0
1893,The book the executive admires,The books the executive admires,ML-obj_rel_no_comp_across_inanim_all,0
1894,The book the executive hates,The books the executive hates,ML-obj_rel_no_comp_across_inanim_all,0
1895,The book the executive loves,The books the executive loves,ML-obj_rel_no_comp_across_inanim_all,0
1896,The book the parent likes,The books the parent likes,ML-obj_rel_no_comp_across_inanim_all,0
1897,The book the parent admires,The books the parent admires,ML-obj_rel_no_comp_across_inanim_all,0
1898,The book the parent hates,The books the parent hates,ML-obj_rel_no_comp_across_inanim_all,0
1899,The book the parent loves,The books the parent loves,ML-obj_rel_no_comp_across_inanim_all,0
1900,The game the guard likes,The games the guard likes,ML-obj_rel_no_comp_across_inanim_all,0
1901,The game the guard admires,The games the guard admires,ML-obj_rel_no_comp_across_inanim_all,0
1902,The game the guard hates,The games the guard hates,ML-obj_rel_no_comp_across_inanim_all,0
1903,The game the guard loves,The games the guard loves,ML-obj_rel_no_comp_across_inanim_all,0
1904,The game the chef likes,The games the chef likes,ML-obj_rel_no_comp_across_inanim_all,0
1905,The game the chef admires,The games the chef admires,ML-obj_rel_no_comp_across_inanim_all,0
1906,The game the chef hates,The games the chef hates,ML-obj_rel_no_comp_across_inanim_all,0
1907,The game the chef loves,The games the chef loves,ML-obj_rel_no_comp_across_inanim_all,0
1908,The game the architect likes,The games the architect likes,ML-obj_rel_no_comp_across_inanim_all,0
1909,The game the architect admires,The games the architect admires,ML-obj_rel_no_comp_across_inanim_all,0
1910,The game the architect hates,The games the architect hates,ML-obj_rel_no_comp_across_inanim_all,0
1911,The game the architect loves,The games the architect loves,ML-obj_rel_no_comp_across_inanim_all,0
1912,The game the skater likes,The games the skater likes,ML-obj_rel_no_comp_across_inanim_all,0
1913,The game the skater admires,The games the skater admires,ML-obj_rel_no_comp_across_inanim_all,0
1914,The game the skater hates,The games the skater hates,ML-obj_rel_no_comp_across_inanim_all,0
1915,The game the skater loves,The games the skater loves,ML-obj_rel_no_comp_across_inanim_all,0
1916,The game the dancer likes,The games the dancer likes,ML-obj_rel_no_comp_across_inanim_all,0
1917,The game the dancer admires,The games the dancer admires,ML-obj_rel_no_comp_across_inanim_all,0
1918,The game the dancer hates,The games the dancer hates,ML-obj_rel_no_comp_across_inanim_all,0
1919,The game the dancer loves,The games the dancer loves,ML-obj_rel_no_comp_across_inanim_all,0
1920,The game the minister likes,The games the minister likes,ML-obj_rel_no_comp_across_inanim_all,0
1921,The game the minister admires,The games the minister admires,ML-obj_rel_no_comp_across_inanim_all,0
1922,The game the minister hates,The games the minister hates,ML-obj_rel_no_comp_across_inanim_all,0
1923,The game the minister loves,The games the minister loves,ML-obj_rel_no_comp_across_inanim_all,0
1924,The game the taxi driver likes,The games the taxi driver likes,ML-obj_rel_no_comp_across_inanim_all,0
1925,The game the taxi driver admires,The games the taxi driver admires,ML-obj_rel_no_comp_across_inanim_all,0
1926,The game the taxi driver hates,The games the taxi driver hates,ML-obj_rel_no_comp_across_inanim_all,0
1927,The game the taxi driver loves,The games the taxi driver loves,ML-obj_rel_no_comp_across_inanim_all,0
1928,The game the assistant likes,The games the assistant likes,ML-obj_rel_no_comp_across_inanim_all,0
1929,The game the assistant admires,The games the assistant admires,ML-obj_rel_no_comp_across_inanim_all,0
1930,The game the assistant hates,The games the assistant hates,ML-obj_rel_no_comp_across_inanim_all,0
1931,The game the assistant loves,The games the assistant loves,ML-obj_rel_no_comp_across_inanim_all,0
1932,The game the executive likes,The games the executive likes,ML-obj_rel_no_comp_across_inanim_all,0
1933,The game the executive admires,The games the executive admires,ML-obj_rel_no_comp_across_inanim_all,0
1934,The game the executive hates,The games the executive hates,ML-obj_rel_no_comp_across_inanim_all,0
1935,The game the executive loves,The games the executive loves,ML-obj_rel_no_comp_across_inanim_all,0
1936,The game the parent likes,The games the parent likes,ML-obj_rel_no_comp_across_inanim_all,0
1937,The game the parent admires,The games the parent admires,ML-obj_rel_no_comp_across_inanim_all,0
1938,The game the parent hates,The games the parent hates,ML-obj_rel_no_comp_across_inanim_all,0
1939,The game the parent loves,The games the parent loves,ML-obj_rel_no_comp_across_inanim_all,0
1940,The song the guard likes,The songs the guard likes,ML-obj_rel_no_comp_across_inanim_all,0
1941,The song the guard admires,The songs the guard admires,ML-obj_rel_no_comp_across_inanim_all,0
1942,The song the guard hates,The songs the guard hates,ML-obj_rel_no_comp_across_inanim_all,0
1943,The song the guard loves,The songs the guard loves,ML-obj_rel_no_comp_across_inanim_all,0
1944,The song the chef likes,The songs the chef likes,ML-obj_rel_no_comp_across_inanim_all,0
1945,The song the chef admires,The songs the chef admires,ML-obj_rel_no_comp_across_inanim_all,0
1946,The song the chef hates,The songs the chef hates,ML-obj_rel_no_comp_across_inanim_all,0
1947,The song the chef loves,The songs the chef loves,ML-obj_rel_no_comp_across_inanim_all,0
1948,The song the architect likes,The songs the architect likes,ML-obj_rel_no_comp_across_inanim_all,0
1949,The song the architect admires,The songs the architect admires,ML-obj_rel_no_comp_across_inanim_all,0
1950,The song the architect hates,The songs the architect hates,ML-obj_rel_no_comp_across_inanim_all,0
1951,The song the architect loves,The songs the architect loves,ML-obj_rel_no_comp_across_inanim_all,0
1952,The song the skater likes,The songs the skater likes,ML-obj_rel_no_comp_across_inanim_all,0
1953,The song the skater admires,The songs the skater admires,ML-obj_rel_no_comp_across_inanim_all,0
1954,The song the skater hates,The songs the skater hates,ML-obj_rel_no_comp_across_inanim_all,0
1955,The song the skater loves,The songs the skater loves,ML-obj_rel_no_comp_across_inanim_all,0
1956,The song the dancer likes,The songs the dancer likes,ML-obj_rel_no_comp_across_inanim_all,0
1957,The song the dancer admires,The songs the dancer admires,ML-obj_rel_no_comp_across_inanim_all,0
1958,The song the dancer hates,The songs the dancer hates,ML-obj_rel_no_comp_across_inanim_all,0
1959,The song the dancer loves,The songs the dancer loves,ML-obj_rel_no_comp_across_inanim_all,0
1960,The song the minister likes,The songs the minister likes,ML-obj_rel_no_comp_across_inanim_all,0
1961,The song the minister admires,The songs the minister admires,ML-obj_rel_no_comp_across_inanim_all,0
1962,The song the minister hates,The songs the minister hates,ML-obj_rel_no_comp_across_inanim_all,0
1963,The song the minister loves,The songs the minister loves,ML-obj_rel_no_comp_across_inanim_all,0
1964,The song the taxi driver likes,The songs the taxi driver likes,ML-obj_rel_no_comp_across_inanim_all,0
1965,The song the taxi driver admires,The songs the taxi driver admires,ML-obj_rel_no_comp_across_inanim_all,0
1966,The song the taxi driver hates,The songs the taxi driver hates,ML-obj_rel_no_comp_across_inanim_all,0
1967,The song the taxi driver loves,The songs the taxi driver loves,ML-obj_rel_no_comp_across_inanim_all,0
1968,The song the assistant likes,The songs the assistant likes,ML-obj_rel_no_comp_across_inanim_all,0
1969,The song the assistant admires,The songs the assistant admires,ML-obj_rel_no_comp_across_inanim_all,0
1970,The song the assistant hates,The songs the assistant hates,ML-obj_rel_no_comp_across_inanim_all,0
1971,The song the assistant loves,The songs the assistant loves,ML-obj_rel_no_comp_across_inanim_all,0
1972,The song the executive likes,The songs the executive likes,ML-obj_rel_no_comp_across_inanim_all,0
1973,The song the executive admires,The songs the executive admires,ML-obj_rel_no_comp_across_inanim_all,0
1974,The song the executive hates,The songs the executive hates,ML-obj_rel_no_comp_across_inanim_all,0
1975,The song the executive loves,The songs the executive loves,ML-obj_rel_no_comp_across_inanim_all,0
1976,The song the parent likes,The songs the parent likes,ML-obj_rel_no_comp_across_inanim_all,0
1977,The song the parent admires,The songs the parent admires,ML-obj_rel_no_comp_across_inanim_all,0
1978,The song the parent hates,The songs the parent hates,ML-obj_rel_no_comp_across_inanim_all,0
1979,The song the parent loves,The songs the parent loves,ML-obj_rel_no_comp_across_inanim_all,0
1980,The picture the guard likes,The pictures the guard likes,ML-obj_rel_no_comp_across_inanim_all,0
1981,The picture the guard admires,The pictures the guard admires,ML-obj_rel_no_comp_across_inanim_all,0
1982,The picture the guard hates,The pictures the guard hates,ML-obj_rel_no_comp_across_inanim_all,0
1983,The picture the guard loves,The pictures the guard loves,ML-obj_rel_no_comp_across_inanim_all,0
1984,The picture the chef likes,The pictures the chef likes,ML-obj_rel_no_comp_across_inanim_all,0
1985,The picture the chef admires,The pictures the chef admires,ML-obj_rel_no_comp_across_inanim_all,0
1986,The picture the chef hates,The pictures the chef hates,ML-obj_rel_no_comp_across_inanim_all,0
1987,The picture the chef loves,The pictures the chef loves,ML-obj_rel_no_comp_across_inanim_all,0
1988,The picture the architect likes,The pictures the architect likes,ML-obj_rel_no_comp_across_inanim_all,0
1989,The picture the architect admires,The pictures the architect admires,ML-obj_rel_no_comp_across_inanim_all,0
1990,The picture the architect hates,The pictures the architect hates,ML-obj_rel_no_comp_across_inanim_all,0
1991,The picture the architect loves,The pictures the architect loves,ML-obj_rel_no_comp_across_inanim_all,0
1992,The picture the skater likes,The pictures the skater likes,ML-obj_rel_no_comp_across_inanim_all,0
1993,The picture the skater admires,The pictures the skater admires,ML-obj_rel_no_comp_across_inanim_all,0
1994,The picture the skater hates,The pictures the skater hates,ML-obj_rel_no_comp_across_inanim_all,0
1995,The picture the skater loves,The pictures the skater loves,ML-obj_rel_no_comp_across_inanim_all,0
1996,The picture the dancer likes,The pictures the dancer likes,ML-obj_rel_no_comp_across_inanim_all,0
1997,The picture the dancer admires,The pictures the dancer admires,ML-obj_rel_no_comp_across_inanim_all,0
1998,The picture the dancer hates,The pictures the dancer hates,ML-obj_rel_no_comp_across_inanim_all,0
1999,The picture the dancer loves,The pictures the dancer loves,ML-obj_rel_no_comp_across_inanim_all,0
2000,The picture the minister likes,The pictures the minister likes,ML-obj_rel_no_comp_across_inanim_all,0
2001,The picture the minister admires,The pictures the minister admires,ML-obj_rel_no_comp_across_inanim_all,0
2002,The picture the minister hates,The pictures the minister hates,ML-obj_rel_no_comp_across_inanim_all,0
2003,The picture the minister loves,The pictures the minister loves,ML-obj_rel_no_comp_across_inanim_all,0
2004,The picture the taxi driver likes,The pictures the taxi driver likes,ML-obj_rel_no_comp_across_inanim_all,0
2005,The picture the taxi driver admires,The pictures the taxi driver admires,ML-obj_rel_no_comp_across_inanim_all,0
2006,The picture the taxi driver hates,The pictures the taxi driver hates,ML-obj_rel_no_comp_across_inanim_all,0
2007,The picture the taxi driver loves,The pictures the taxi driver loves,ML-obj_rel_no_comp_across_inanim_all,0
2008,The picture the assistant likes,The pictures the assistant likes,ML-obj_rel_no_comp_across_inanim_all,0
2009,The picture the assistant admires,The pictures the assistant admires,ML-obj_rel_no_comp_across_inanim_all,0
2010,The picture the assistant hates,The pictures the assistant hates,ML-obj_rel_no_comp_across_inanim_all,0
2011,The picture the assistant loves,The pictures the assistant loves,ML-obj_rel_no_comp_across_inanim_all,0
2012,The picture the executive likes,The pictures the executive likes,ML-obj_rel_no_comp_across_inanim_all,0
2013,The picture the executive admires,The pictures the executive admires,ML-obj_rel_no_comp_across_inanim_all,0
2014,The picture the executive hates,The pictures the executive hates,ML-obj_rel_no_comp_across_inanim_all,0
2015,The picture the executive loves,The pictures the executive loves,ML-obj_rel_no_comp_across_inanim_all,0
2016,The picture the parent likes,The pictures the parent likes,ML-obj_rel_no_comp_across_inanim_all,0
2017,The picture the parent admires,The pictures the parent admires,ML-obj_rel_no_comp_across_inanim_all,0
2018,The picture the parent hates,The pictures the parent hates,ML-obj_rel_no_comp_across_inanim_all,0
